city_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Kaeo,NZ,72.32,overcast clouds,-35.1,173.7833,No hotel found
2,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,Le Baril
4,Busselton,AU,76.44,clear sky,-33.65,115.3333,No hotel found
5,Puerto Ayora,EC,70.56,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
11,Wanaka,NZ,75.11,broken clouds,-44.7,169.15,No hotel found
13,Bengkulu,ID,83.5,scattered clouds,-3.8004,102.2655,Dena Hotel
14,Bambanglipuro,ID,84.34,broken clouds,-7.95,110.2833,No hotel found
18,Kapaa,US,73.47,light rain,22.0752,-159.319,Pono Kai Resort
19,Hilo,US,78.28,broken clouds,19.7297,-155.09,Dolphin Bay Hotel
27,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti International Resort
28,Bambous Virieux,MU,78.22,broken clouds,-20.3428,57.7575,No hotel found
30,Arraial Do Cabo,BR,72.82,broken clouds,-22.9661,-42.0278,No hotel found
35,Quatre Cocos,MU,78.1,scattered clouds,-20.2078,57.7625,Horisun
37,Tacuati,PY,70.83,few clouds,-23.45,-56.5833,No hotel found
43,Pochutla,MX,74.82,clear sky,15.7432,-96.4661,Hotel El Patio
45,Butaritari,KI,81.03,light rain,3.0707,172.7902,No hotel found
48,Kudahuvadhoo,MV,81.28,few clouds,2.6708,72.8944,No hotel found
54,Neiafu,TO,84.88,scattered clouds,-18.65,-173.9833,Port Wine Guest House
55,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Page 63 hostel
61,Pontes E Lacerda,BR,71.47,overcast clouds,-15.2261,-59.3353,Hotel Avenida
63,Rikitea,PF,75.74,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
65,Cabedelo,BR,77.67,few clouds,-6.9811,-34.8339,No hotel found
67,Port Elizabeth,ZA,70.09,light rain,-33.918,25.5701,Waterford Hotel
68,Airai,TL,70.52,light rain,-8.9266,125.4092,No hotel found
71,Sao Filipe,CV,75.42,broken clouds,14.8961,-24.4956,Bela Vista
82,Panguna,PG,76.91,moderate rain,-6.3164,155.4848,No hotel found
84,Narrabri,AU,81.52,clear sky,-30.3167,149.7833,Tattersall's Hotel
87,Alofi,NU,84.09,few clouds,-19.0595,-169.9187,No hotel found
88,Atuona,PF,78.69,few clouds,-9.8,-139.0333,Pearl Resort
90,Sinnamary,GF,76.6,overcast clouds,5.3833,-52.95,Hôtel du fleuve
91,Sao Jose Da Coroa Grande,BR,77.34,scattered clouds,-8.8978,-35.1478,Hotel do Sol
93,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Hotel SkylineInn
94,Taguatinga,BR,70.61,light rain,-12.3857,-46.5711,No hotel found
95,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
99,Cayenne,GF,73.44,broken clouds,4.9333,-52.3333,Central Hôtel
105,Eyl,SO,71.8,clear sky,7.9803,49.8164,فندق ايل دابي
109,Kavaratti,IN,80.89,overcast clouds,10.5669,72.642,No hotel found
110,Comodoro Rivadavia,AR,78.66,clear sky,-45.8667,-67.5,No hotel found
111,Benguela,AO,73.63,overcast clouds,-12.5763,13.4055,Hotel Moibela
118,Sur,OM,72.77,clear sky,22.5667,59.5289,Sur Hotel
120,Uaua,BR,75.85,broken clouds,-9.8414,-39.4817,Hotel Uauá
124,Santa Teresa,VE,75.42,few clouds,10.2341,-66.6631,No hotel found
125,Tuy Hoa,VN,75.83,moderate rain,13.0833,109.3,Vinh Tuan Hotel
128,Puerto Baquerizo Moreno,EC,70.59,scattered clouds,-0.9,-89.6,Dory's House
129,Santa Marta,CO,84.25,few clouds,11.2408,-74.199,Casa Mita
131,Vadlapudi,IN,75.96,few clouds,14.3167,79.8,No hotel found
133,Aracati,BR,78.51,scattered clouds,-4.5617,-37.7697,Hotel Complexo Mirante das Gamboas
134,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Grand Bel Air
136,Mana,GF,76.01,overcast clouds,5.6592,-53.7767,Le Samana
137,Kavieng,PG,83.55,overcast clouds,-2.5744,150.7967,Kavieng Hotel
148,Gagnoa,CI,71.38,overcast clouds,6.1293,-5.9437,Hôtel Nouveau Cottage
150,Pangai,TO,84.31,few clouds,-19.8,-174.35,Billy's Place
153,Sungairaya,ID,83.34,overcast clouds,0.7,108.9,No hotel found
156,Madang,PG,86.54,broken clouds,-5.2246,145.7966,Madang Star International
157,Geraldton,AU,88.21,clear sky,-28.7667,114.6,
160,Oeiras,BR,76.77,overcast clouds,-7.0253,-42.1311,
161,Isangel,VU,83.23,clear sky,-19.55,169.2667,
170,Carnarvon,AU,89.11,clear sky,-24.8667,113.6333,
172,Morondava,MG,78.64,light rain,-20.2833,44.2833,
173,Mazagao,BR,80.65,overcast clouds,-0.115,-51.2894,
174,Vila Velha,BR,73.35,clear sky,-20.3297,-40.2925,
176,Amapa,BR,72.18,scattered clouds,1.0,-52.0,
183,Vao,NC,77.85,clear sky,-22.6667,167.4833,
185,Bonthe,SL,77.58,clear sky,7.5264,-12.505,
186,Trairi,BR,78.85,few clouds,-3.2778,-39.2689,
187,Pindobacu,BR,76.03,overcast clouds,-10.7417,-40.3608,
196,Tumbagaan,PH,82.09,scattered clouds,5.3656,120.3139,
198,Port Augusta,AU,85.91,scattered clouds,-32.5,137.7667,
199,Tema,GH,81.01,light rain,5.667,-0.0166,
201,Kandi,BJ,71.22,broken clouds,11.1342,2.9386,
205,Kerema,PG,83.75,moderate rain,-7.9631,145.7785,
207,Khiri Mat,TH,71.64,broken clouds,16.8333,99.8,
209,Touros,BR,77.54,clear sky,-5.1989,-35.4608,
213,Kieta,PG,83.55,light rain,-6.2167,155.6333,
214,Faanui,PF,79.88,light rain,-16.4833,-151.75,
216,Kaili,ID,77.61,overcast clouds,-3.4626,120.2147,
217,Payo,ID,84.56,overcast clouds,-3.7508,103.6372,
219,Lufilufi,WS,80.38,heavy intensity rain,-13.8745,-171.5986,
221,Richards Bay,ZA,73.96,overcast clouds,-28.783,32.0377,
224,Presidencia Roque Saenz Pena,AR,72.97,clear sky,-26.7852,-60.4388,
226,Manuk Mangkaw,PH,82.92,overcast clouds,4.8,119.85,
227,Suwannaphum,TH,75.85,broken clouds,15.6035,103.8021,
229,Lorengau,PG,82.72,broken clouds,-2.0226,147.2712,
241,Padang,ID,84.25,broken clouds,-0.9492,100.3543,
