city_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Kaeo,NZ,-35.1,173.7833,72.32,83,100,7.34,overcast clouds
1,San Quintin,MX,30.4833,-115.95,58.41,66,12,4.79,few clouds
2,Saint-Philippe,RE,-21.3585,55.7679,76.59,82,36,14.41,light rain
3,Inuvik,CA,68.3499,-133.7218,0.61,84,75,10.36,light snow
4,Busselton,AU,-33.65,115.3333,76.44,39,1,3.89,clear sky
5,Puerto Ayora,EC,-0.7393,-90.3518,70.56,96,65,6.8,broken clouds
6,Bluff,NZ,-46.6,168.3333,63.81,83,74,16.51,broken clouds
7,Teya,RU,60.3778,92.6267,-21.95,100,52,3.51,broken clouds
8,Tasiilaq,GL,65.6145,-37.6368,1.81,57,0,5.39,clear sky
9,Kodiak,US,57.79,-152.4072,31.62,69,83,9.64,broken clouds
10,Mataura,NZ,-46.1927,168.8643,63.48,65,69,3.71,broken clouds
11,Wanaka,NZ,-44.7,169.15,75.11,42,51,5.99,broken clouds
12,Bethel,US,41.3712,-73.414,37.49,87,100,3.0,light snow
13,Bengkulu,ID,-3.8004,102.2655,83.5,64,34,4.99,scattered clouds
14,Bambanglipuro,ID,-7.95,110.2833,84.34,69,68,6.71,broken clouds
15,Cape Town,ZA,-33.9258,18.4232,68.11,91,75,14.97,broken clouds
16,Hobart,AU,-42.8794,147.3294,60.06,69,75,14.97,light intensity drizzle
17,Tessalit,ML,20.1986,1.0114,66.94,18,0,6.26,clear sky
18,Kapaa,US,22.0752,-159.319,73.47,83,15,3.0,light rain
19,Hilo,US,19.7297,-155.09,78.28,91,82,1.01,broken clouds
20,Katima Mulilo,NA,-17.5,24.2667,68.58,92,100,0.74,light rain
21,Saint-Francois,FR,46.4154,3.9054,18.84,93,0,2.3,clear sky
22,Nhulunbuy,AU,-12.2333,136.7667,90.21,62,40,10.36,scattered clouds
23,Dikson,RU,73.5069,80.5464,7.66,94,100,17.78,overcast clouds
24,Prince Rupert,CA,54.3161,-130.3201,40.69,100,100,6.91,mist
25,Saint George,US,37.1041,-113.5841,37.99,49,0,12.66,clear sky
26,Hermanus,ZA,-34.4187,19.2345,64.8,91,100,10.07,light rain
27,Vaini,TO,-21.2,-175.2,84.36,70,20,12.66,few clouds
28,Bambous Virieux,MU,-20.3428,57.7575,78.22,78,75,11.5,broken clouds
29,Genhe,CN,50.7833,121.5167,-13.2,83,59,2.89,broken clouds
30,Arraial Do Cabo,BR,-22.9661,-42.0278,72.82,92,75,12.71,broken clouds
31,Korla,CN,41.7597,86.1469,20.26,55,3,2.01,clear sky
32,Albany,US,42.6001,-73.9662,33.53,94,100,4.43,snow
33,Port Lincoln,AU,-34.7333,135.8667,68.32,63,100,12.53,overcast clouds
